
% time 5.0000
% report fiber:force
% identity      posX      posY    forceX    forceY   tension
%   fiber f1:0001
         3  -14.0440  -23.0756   -2.5370    3.1387    0.9618
         3  -13.9168  -22.9206    0.0000    0.0000    0.9549
         3  -13.7896  -22.7656    0.0000    0.0000    0.9480
         3  -13.6625  -22.6106    0.0000    0.0000    0.9411
         3  -13.5353  -22.4556    0.0000    0.0000    0.9342
         3  -13.4082  -22.3006    0.0000    0.0000    0.9273
         3  -13.2810  -22.1456    0.0000    0.0000    0.9204
         3  -13.1539  -21.9905    0.0000    0.0000    0.9134
         3  -13.0268  -21.8355    0.0000    0.0000    0.9065
         3  -12.8997  -21.6804    0.0000    0.0000    0.8996
         3  -12.7726  -21.5254    0.0000    0.0000    0.8927
         3  -12.6455  -21.3703    0.0000    0.0000    0.8858
         3  -12.5185  -21.2152    0.0000    0.0000    0.8789
         3  -12.3914  -21.0601    0.0000    0.0000    0.8720
         3  -12.2644  -20.9050   -0.3142   -0.6924    1.5998
         3  -12.1374  -20.7498    0.3877    1.2665    0.3673
         3  -12.0104  -20.5947    0.1758   -0.4171    0.5717
         3  -11.8834  -20.4395   -0.3764   -0.2609    1.0050
         3  -11.7564  -20.2844    0.0000    0.0000    0.9980
         3  -11.6295  -20.1292    0.0000    0.0000    0.9910
         3  -11.5025  -19.9741    0.0000    0.0000    0.9840
         3  -11.3755  -19.8189    0.0000    0.0000    0.9770
         3  -11.2485  -19.6638    0.0000    0.0000    0.9700
         3  -11.1215  -19.5087    0.0000    0.0000    0.9630
         3  -10.9944  -19.3535    0.0000    0.0000    0.9560
         3  -10.8674  -19.1984    0.0000    0.0000    0.9490
         3  -10.7403  -19.0434    0.0000    0.0000    0.9420
         3  -10.6133  -18.8883    0.0000    0.0000    0.9350
         3  -10.4862  -18.7332    0.0000    0.0000    0.9280
         3  -10.3591  -18.5782    0.0000    0.0000    0.9210
         3  -10.2319  -18.4231    0.0000    0.0000    0.9140
         3  -10.1048  -18.2681    0.0000    0.0000    0.9070
         3   -9.9776  -18.1131    0.0000    0.0000    0.9000
         3   -9.8504  -17.9581    0.0000    0.0000    0.8930
         3   -9.7232  -17.8032    0.0000    0.0000    0.8860
         3   -9.5959  -17.6482    0.0000    0.0000    0.8790
         3   -9.4686  -17.4933    0.0000    0.0000    0.8719
         3   -9.3413  -17.3385    0.0000    0.0000    0.8649
         3   -9.2139  -17.1837    0.0000    0.0000    0.8579
         3   -9.0864  -17.0289    0.0000    0.0000    0.8509
         3   -8.9588  -16.8743    0.0000    0.0000    0.8439
         3   -8.8312  -16.7196    0.0000    0.0000    0.8369
         3   -8.7035  -16.5651    0.0000    0.0000    0.8299
         3   -8.5756  -16.4106    0.0000    0.0000    0.8229
         3   -8.4477  -16.2563    0.0000    0.0000    0.8159
         3   -8.3197  -16.1020    0.0000    0.0000    0.8089
         3   -8.1915  -15.9478    0.0000    0.0000    0.8019
         3   -8.0633  -15.7937    0.0000    0.0000    0.7949
         3   -7.9349  -15.6397    0.0000    0.0000    0.7879
         3   -7.8065  -15.4857    0.0000    0.0000    0.7809
         3   -7.6779  -15.3319    0.0000    0.0000    0.7739
         3   -7.5493  -15.1781    0.0000    0.0000    0.7669
         3   -7.4205  -15.0244    0.0000    0.0000    0.7599
         3   -7.2917  -14.8708    0.0000    0.0000    0.7529
         3   -7.1627  -14.7173    0.0000    0.0000    0.7460
         3   -7.0336  -14.5639    0.0000    0.0000    0.7390
         3   -6.9045  -14.4105    0.0000    0.0000    0.7320
         3   -6.7752  -14.2572    0.0000    0.0000    0.7250
         3   -6.6459  -14.1041    0.0000    0.0000    0.7180
         3   -6.5165  -13.9509    0.0000    0.0000    0.7110
         3   -6.3869  -13.7979    0.0000    0.0000    0.7040
